,Name,x,y,z,Direction,CAD Level
0,ESWBPump1,3.8599999999999994,14.8335,0.8334999999999999,E,EQUIPMENT
1,CCWPump1,4.095,12.9285,14.428499999999971,E,EQUIPMENT
2,CCWHX1,3.6199999999999997,17.7315,13.0955,E,EQUIPMENT
3,CSAddTank,4.055,6.682000000000063,14.46799999999969,E,EQUIPMENT
4,CCWPump2,4.095,9.785500000000065,14.428499999999971,E,EQUIPMENT
5,CCWHX2,3.6199999999999997,20.39849999999899,0.9045000000011059,E,EQUIPMENT
6,ESWBPump2,1.4249999999999994,15.322500000000034,12.8335,W,EQUIPMENT
7,BoronRecycEvap,0.9525,20.133000000000035,12.9525,W,EQUIPMENT
8,BoronRecycHoldTank,4.449999999999273,8.297,2.1499999999992725,E,EQUIPMENT
9,BTRSLDreheatHX,3.876,24.17,12.8735,E,EQUIPMENT
10,BTRSLDModHX,1.9264999999992725,9.704999999999995,2.626500000000611,E,EQUIPMENT
11,BTRSLDCHILLHX,3.8735,15.707,8.8735,E,EQUIPMENT
12,CVCSSealWHX,1.9664999999992725,26.055,12.8335,W,EQUIPMENT
13,CVCSLDHX,3.7385,20.8765,8.7385,W,EQUIPMENT
14,BoricAcidTank,1.4499999999992723,4.736999999999998,10.149999999999272,E,EQUIPMENT
15,BoricAcidTranspumps,3.635,8.621999999999998,10.706000000000262,S,EQUIPMENT
16,BoricAcidFilters,1.9239999999992898,14.8735,8.794,W,EQUIPMENT
17,BTRSdemins,4.191,5.339999999999995,6.309000000000393,E,EQUIPMENT
18,BTRSFilters,3.357,0.35700000000000004,0.5954999999999999,N,EQUIPMENT
19,CVCSVCT,1.001499999999272,3.4820000000000606,6.507499999999418,N,EQUIPMENT
20,CVCSFilters,3.357,25.486999999998993,0.5954999999999999,W,EQUIPMENT
21,CVCSCationBedDemins,1.8464999999992724,13.206,2.706000000000262,S,EQUIPMENT
22,CVCSMixedBedDemins,5.1905,13.5235,2.904499999999287,S,EQUIPMENT
23,BTRSChiller,1.9264999999992725,7.975000000000001,6.626500000000611,E,EQUIPMENT
24,sampling,2.0059999999992724,11.618499999998988,10.706000000000262,E,EQUIPMENT
25,SICSIPcharge,1.6089999999992726,17.938,9.190999999999999,N,EQUIPMENT
26,GFFD,4.055,12.968,10.467999999999694,E,EQUIPMENT
27,SISboroninjectiontank,1.7679999999992724,15.032,1.032,S,EQUIPMENT
28,CCWsurgetank,3.9949999999999997,11.897499999999997,6.507499999999418,S,EQUIPMENT
29,AFWPump,1.5694999999992725,12.769499999999999,6.507499999999418,W,EQUIPMENT
30,Reactor1,0.025,0.025,2.505,S,EQUIPMENT
31,RHRHX1,3.025,27.805,2.505,W,EQUIPMENT
32,RHRHX2,3.025,13.805000000000001,2.505,S,EQUIPMENT
